common_name,scientific_name,species_group,esa_status,foreign_or_domestic,state,state_abbr,country
Running buffalo clover,Trifolium stoloniferum,Flowering Plants,Endangered,Domestic,Arkansas,AR,United States
Running buffalo clover,Trifolium stoloniferum,Flowering Plants,Endangered,Domestic,Missouri,MO,United States
Running buffalo clover,Trifolium stoloniferum,Flowering Plants,Endangered,Domestic,West Virginia,WV,United States
Running buffalo clover,Trifolium stoloniferum,Flowering Plants,Endangered,Domestic,Pennsylvania,PA,United States
Running buffalo clover,Trifolium stoloniferum,Flowering Plants,Endangered,Domestic,Indiana,IN,United States
Running buffalo clover,Trifolium stoloniferum,Flowering Plants,Endangered,Domestic,Ohio,OH,United States
Rush Darter,Etheostoma phytophilum,Fishes,Endangered,Domestic,Alabama,AL,United States
Rusty patched bumble bee,Bombus affinis,Insects,Endangered,Domestic,Virginia,VA,United States
Rusty patched bumble bee,Bombus affinis,Insects,Endangered,Domestic,Massachusetts,MA,United States
Rusty patched bumble bee,Bombus affinis,Insects,Endangered,Domestic,Illinois,IL,United States
Rusty patched bumble bee,Bombus affinis,Insects,Endangered,Domestic,Wisconsin,WI,United States
Rusty patched bumble bee,Bombus affinis,Insects,Endangered,Domestic,Ohio,OH,United States
Rusty patched bumble bee,Bombus affinis,Insects,Endangered,Domestic,West Virginia,WV,United States
Rusty patched bumble bee,Bombus affinis,Insects,Endangered,Domestic,Indiana,IN,United States
Rusty patched bumble bee,Bombus affinis,Insects,Endangered,Domestic,Iowa,IA,United States
Rusty patched bumble bee,Bombus affinis,Insects,Endangered,Domestic,Minnesota,MN,United States
Rusty patched bumble bee,Bombus affinis,Insects,Endangered,Domestic,Maine,ME,United States
Salado Salamander,Eurycea chisholmensis,Amphibians,Threatened,Domestic,Texas,TX,United States
Salt marsh bird's-beak,Cordylanthus maritimus ssp. maritimus,Flowering Plants,Endangered,Both Domestic and Foreign,California,CA,United States
Saltmarsh Sparrow,Ammospiza caudacuta,Birds,Species of Concern,Domestic,South Carolina,SC,United States
Saltwater crocodile,Crocodylus porosus,Reptiles,Endangered,Foreign,Palau,PW,United States
San Bernardino Merriam's kangaroo rat,Dipodomys merriami parvus,Mammals,Endangered,Domestic,California,CA,United States
San Bruno elfin butterfly,Callophrys mossii bayensis,Insects,Endangered,Domestic,California,CA,United States
San Diego ambrosia,Ambrosia pumila,Flowering Plants,Endangered,Both Domestic and Foreign,California,CA,United States
San Diego black-tailed jackrabbit,Lepus californicus bennettii,Mammals,Species of Concern,Both Domestic and Foreign,California,CA,United States
San Diego button-celery,Eryngium aristulatum var. parishii,Flowering Plants,Endangered,Domestic,California,CA,United States
San Diego fairy shrimp,Branchinecta sandiegonensis,Crustaceans,Endangered,Domestic,California,CA,United States
San Diego mesa-mint,Pogogyne abramsii,Flowering Plants,Endangered,Domestic,California,CA,United States
San Diego thornmint,Acanthomintha ilicifolia,Flowering Plants,Threatened,Both Domestic and Foreign,California,CA,United States
Sand skink,Neoseps reynoldsi,Reptiles,Threatened,Domestic,Florida,FL,United States
