common_name,scientific_name,species_group,esa_status,foreign_or_domestic,state,state_abbr,country
Whooping crane,Grus americana,Birds,Endangered,Both Domestic and Foreign,Montana,MT,United States
Whooping crane,Grus americana,Birds,Endangered,Both Domestic and Foreign,South Dakota,SD,United States
Whooping crane,Grus americana,Birds,Endangered,Both Domestic and Foreign,Nebraska,NE,United States
Willowy monardella,Monardella viminea,Flowering Plants,Endangered,Both Domestic and Foreign,California,CA,United States
Winged Mapleleaf,Quadrula fragosa,Clams,Endangered,Domestic,Minnesota,MN,United States
Winged Mapleleaf,Quadrula fragosa,Clams,Endangered,Domestic,Tennessee,TN,United States
Winged Mapleleaf,Quadrula fragosa,Clams,Endangered,Domestic,Arkansas,AR,United States
Winged Mapleleaf,Quadrula fragosa,Clams,Endangered,Domestic,Missouri,MO,United States
Winged Mapleleaf,Quadrula fragosa,Clams,Endangered,Domestic,Oklahoma,OK,United States
Winged Mapleleaf,Quadrula fragosa,Clams,Endangered,Domestic,Wisconsin,WI,United States
Wood Bison,Bison bison athabascae,Mammals,Threatened,Both Domestic and Foreign,Alaska,AK,United States
Woodland Caribou,Rangifer tarandus caribou,Mammals,Endangered,Both Domestic and Foreign,Washington,WA,United States
Woodland Caribou,Rangifer tarandus caribou,Mammals,Endangered,Both Domestic and Foreign,Idaho,ID,United States
Wood stork,Mycteria americana,Birds,Threatened,Domestic,South Carolina,SC,United States
Wood stork,Mycteria americana,Birds,Threatened,Domestic,Georgia,GA,United States
Wood stork,Mycteria americana,Birds,Threatened,Domestic,Alabama,AL,United States
Wood stork,Mycteria americana,Birds,Threatened,Domestic,North Carolina,NC,United States
Wood stork,Mycteria americana,Birds,Threatened,Domestic,Mississippi,MS,United States
Wood stork,Mycteria americana,Birds,Threatened,Domestic,Florida,FL,United States
Woundfin,Plagopterus argentissimus,Fishes,Endangered,Domestic,Arizona,AZ,United States
Woundfin,Plagopterus argentissimus,Fishes,Endangered,Domestic,Utah,UT,United States
Woundfin,Plagopterus argentissimus,Fishes,Endangered,Domestic,Nevada,NV,United States
Wyoming Toad,Bufo hemiophrys baxteri,Amphibians,Endangered,Domestic,Wyoming,WY,United States
