"common_name","esa_status","species_group","state"
"Western prairie fringed Orchid","Threatened","Flowering Plants","North Dakota"
"Western prairie fringed Orchid","Threatened","Flowering Plants","Colorado"
"Western prairie fringed Orchid","Threatened","Flowering Plants","Wyoming"
"Western prairie fringed Orchid","Threatened","Flowering Plants","Iowa"
"Western prairie fringed Orchid","Threatened","Flowering Plants","Nebraska"
"Western prairie fringed Orchid","Threatened","Flowering Plants","South Dakota"
"Western snowy plover","Threatened","Birds","California"
"Western snowy plover","Threatened","Birds","Washington"
"Western snowy plover","Threatened","Birds","Oregon"
"West Indian Manatee","Threatened","Mammals","Virginia"
"West Indian Manatee","Threatened","Mammals","Florida"
"West Indian Manatee","Threatened","Mammals","North Carolina"
"West Indian Manatee","Threatened","Mammals","Louisiana"
"West Indian Manatee","Threatened","Mammals","Alabama"
"West Indian Manatee","Threatened","Mammals","Georgia"
"West Indian Manatee","Threatened","Mammals","Mississippi"
"West Indian Manatee","Threatened","Mammals","South Carolina"
"West Indian Manatee","Threatened","Mammals","New Jersey"
"West Indian Manatee","Threatened","Mammals","Puerto Rico"
"West Indian Manatee","Threatened","Mammals","Texas"
"West Indian Manatee","Threatened","Mammals","Delaware"
"West Indian Manatee","Threatened","Mammals","Maryland"
"West Indian whistling duck","Species of Concern","Birds","Puerto Rico"
"West Indian whistling duck","Species of Concern","Birds","Virgin Islands"
"White catspaw (pearlymussel)","Endangered","Clams","Ohio"
"White catspaw (pearlymussel)","Endangered","Clams","Indiana"
"White-crowned pigeon","Species of Concern","Birds","Florida"
"White-faced ibis","Species of Concern","Birds","Colorado"
"White fringeless orchid","Threatened","Flowering Plants","Mississippi"
"White fringeless orchid","Threatened","Flowering Plants","Tennessee"
"White fringeless orchid","Threatened","Flowering Plants","Georgia"
"White fringeless orchid","Threatened","Flowering Plants","Alabama"
"White fringeless orchid","Threatened","Flowering Plants","South Carolina"
"White fringeless orchid","Threatened","Flowering Plants","Kentucky"
"White sturgeon","Endangered","Fishes","Idaho"
"White sturgeon","Endangered","Fishes","Montana"
"Whooping crane","Endangered","Birds","Kansas"
"Whooping crane","Endangered","Birds","Wisconsin"
"Whooping crane","Endangered","Birds","Texas"
"Whooping crane","Endangered","Birds","Oklahoma"
"Whooping crane","Endangered","Birds","North Dakota"
"Whooping crane","Endangered","Birds","Montana"
"Whooping crane","Endangered","Birds","South Dakota"
"Whooping crane","Endangered","Birds","Nebraska"
"Willowy monardella","Endangered","Flowering Plants","California"
"Winged Mapleleaf","Endangered","Clams","Minnesota"
"Winged Mapleleaf","Endangered","Clams","Tennessee"
"Winged Mapleleaf","Endangered","Clams","Arkansas"
"Winged Mapleleaf","Endangered","Clams","Missouri"
"Winged Mapleleaf","Endangered","Clams","Oklahoma"
"Winged Mapleleaf","Endangered","Clams","Wisconsin"
"Wood Bison","Threatened","Mammals","Alaska"
"Woodland Caribou","Endangered","Mammals","Washington"
"Woodland Caribou","Endangered","Mammals","Idaho"
"Wood stork","Threatened","Birds","South Carolina"
"Wood stork","Threatened","Birds","Georgia"
"Wood stork","Threatened","Birds","Alabama"
"Wood stork","Threatened","Birds","North Carolina"
"Wood stork","Threatened","Birds","Mississippi"
"Wood stork","Threatened","Birds","Florida"
"Woundfin","Endangered","Fishes","Arizona"
"Woundfin","Endangered","Fishes","Utah"
"Woundfin","Endangered","Fishes","Nevada"
"Wyoming Toad","Endangered","Amphibians","Wyoming"
"Yellow-billed Cuckoo","Threatened","Birds","New Mexico"
"Yellow-billed Cuckoo","Threatened","Birds","Colorado"
"Yellow-billed Cuckoo","Threatened","Birds","Wyoming"
"Yellow-billed Cuckoo","Threatened","Birds","Texas"
"Yellow-billed Cuckoo","Threatened","Birds","Nevada"
"Yellow-billed Cuckoo","Threatened","Birds","California"
"Yellow-billed Cuckoo","Threatened","Birds","Utah"
"Yellow-billed Cuckoo","Threatened","Birds","Montana"
"Yellow-billed Cuckoo","Threatened","Birds","Arizona"
"Yellow-billed Cuckoo","Threatened","Birds","Idaho"
"Yellow-billed Cuckoo","Threatened","Birds","Oregon"
"Yellow-billed Cuckoo","Threatened","Birds","Washington"
"Yellow blossom (pearlymussel)","Endangered","Clams","Tennessee"
"Yellowcheek Darter","Endangered","Fishes","Arkansas"
"Yellow lampmussel","Species of Concern","Clams","North Carolina"
"Yellow-shouldered blackbird","Endangered","Birds","Puerto Rico"
"Yuma Ridgways (clapper) rail","Endangered","Birds","Arizona"
"Yuma Ridgways (clapper) rail","Endangered","Birds","California"
