"common_name","esa_status","species_group","state"
"Ozark Hellbender","Endangered","Amphibians","Missouri"
"Ozark Hellbender","Endangered","Amphibians","Arkansas"
"Pacific Hawaiian damselfly","Endangered","Insects","Hawaii"
"Pagosa skyrocket","Endangered","Flowering Plants","Colorado"
"Paiute cutthroat trout","Threatened","Fishes","California"
"Pallid sturgeon","Endangered","Fishes","South Dakota"
"Pallid sturgeon","Endangered","Fishes","Tennessee"
"Pallid sturgeon","Endangered","Fishes","Kansas"
"Pallid sturgeon","Endangered","Fishes","Arkansas"
"Pallid sturgeon","Endangered","Fishes","Nebraska"
"Pallid sturgeon","Endangered","Fishes","Louisiana"
"Pallid sturgeon","Endangered","Fishes","Montana"
"Pallid sturgeon","Endangered","Fishes","Iowa"
"Pallid sturgeon","Endangered","Fishes","Mississippi"
"Pallid sturgeon","Endangered","Fishes","Illinois"
"Pallid sturgeon","Endangered","Fishes","North Dakota"
"Pallid sturgeon","Endangered","Fishes","Kentucky"
"Pallid sturgeon","Endangered","Fishes","Missouri"
"Palma de manaca","Threatened","Flowering Plants","Puerto Rico"
"Palo de nigua","Endangered","Flowering Plants","Puerto Rico"
"Palo de ramon","Endangered","Flowering Plants","Puerto Rico"
"Palo de rosa","Endangered","Flowering Plants","Puerto Rico"
"Palos Verdes blue butterfly","Endangered","Insects","California"
"Panama City crayfish","Threatened","Crustaceans","Florida"
"Parachute beardtongue","Threatened","Flowering Plants","Colorado"
"Parachute beardtongue","Threatened","Flowering Plants","Utah"
"Pawnee montane skipper","Threatened","Insects","Colorado"
"Pearl darter","Threatened","Fishes","Mississippi"
"Pecos assiminea snail","Endangered","Snails","Texas"
"Pecos assiminea snail","Endangered","Snails","New Mexico"
"Pedate checker-mallow","Endangered","Flowering Plants","California"
"Peirson's milk-vetch","Threatened","Flowering Plants","California"
"Peninsular bighorn sheep","Endangered","Mammals","California"
"Penland alpine fen mustard","Threatened","Flowering Plants","Colorado"
"Penland beardtongue","Endangered","Flowering Plants","Colorado"
"Perdido Key beach mouse","Endangered","Mammals","Florida"
"Perdido Key beach mouse","Endangered","Mammals","Alabama"
"Pink mucket (pearlymussel)","Endangered","Clams","Mississippi"
"Pink mucket (pearlymussel)","Endangered","Clams","Louisiana"
"Pink mucket (pearlymussel)","Endangered","Clams","Georgia"
"Pink mucket (pearlymussel)","Endangered","Clams","Tennessee"
"Pink mucket (pearlymussel)","Endangered","Clams","Ohio"
"Pink mucket (pearlymussel)","Endangered","Clams","Missouri"
"Pink mucket (pearlymussel)","Endangered","Clams","Virginia"
"Pink mucket (pearlymussel)","Endangered","Clams","Kentucky"
"Pink mucket (pearlymussel)","Endangered","Clams","West Virginia"
"Pink mucket (pearlymussel)","Endangered","Clams","Illinois"
"Pink mucket (pearlymussel)","Endangered","Clams","Alabama"
"Piping Plover","Threatened","Birds","Mississippi"
"Piping Plover","Endangered","Birds","Michigan"
"Piping Plover","Endangered","Birds","Indiana"
"Piping Plover","Threatened","Birds","Maryland"
"Piping Plover","Threatened","Birds","New Hampshire"
"Piping Plover","Endangered","Birds","Illinois"
"Piping Plover","Threatened","Birds","Maine"
"Piping Plover","Threatened","Birds","Rhode Island"
"Piping Plover","Threatened","Birds","South Dakota"
"Piping Plover","Threatened","Birds","Wyoming"
"Piping Plover","Endangered","Birds","Pennsylvania"
"Piping Plover","Endangered","Birds","Minnesota"
"Piping Plover","Threatened","Birds","Montana"
"Piping Plover","Endangered","Birds","Wisconsin"
"Piping Plover","Threatened","Birds","Texas"
"Piping Plover","Threatened","Birds","Virginia"
"Piping Plover","Endangered","Birds","New York"
"Piping Plover","Threatened","Birds","New Mexico"
"Piping Plover","Threatened","Birds","Nebraska"
"Piping Plover","Threatened","Birds","New Jersey"
"Piping Plover","Threatened","Birds","South Carolina"
"Piping Plover","Threatened","Birds","North Dakota"
